Epoch,LR,Loss,Train Micro AUROC,Train Micro AUPRC,Train Macro AUROC,Train Macro AUPRC,Validation Loss,Validation Micro AUROC,Validation Micro AUPRC,Validation Macro AUROC,Validation Macro AUPRC
,,,,,,,,,,,
0,0.0005,0.731,0.4706,0.4635,0.4648,0.4682,0.6908,0.5701,0.5511,0.5709,0.548
5,0.0005,0.5662,0.827,0.8336,0.8155,0.8171,,,,,
10,0.0005,0.4562,0.8957,0.9009,0.8934,0.8951,0.5248,0.821,0.8326,0.8193,0.8242
15,0.0005,0.3818,0.9221,0.9228,0.9215,0.9186,,,,,
20,0.0005,0.322,0.9434,0.9415,0.9404,0.9354,0.4443,0.8729,0.8783,0.8673,0.8669
25,0.0005,0.2737,0.9591,0.9555,0.9537,0.9475,,,,,
30,0.0005,0.239,0.9673,0.9635,0.9615,0.9554,0.3934,0.9035,0.9051,0.8957,0.8921
35,0.0005,0.2154,0.9724,0.9686,0.9669,0.9613,,,,,
40,0.0005,0.1977,0.9761,0.9724,0.9708,0.9655,0.3938,0.9111,0.9103,0.9029,0.8971
45,0.0005,0.2092,0.9734,0.9698,0.9701,0.9646,,,,,
50,0.0005,0.1919,0.9768,0.972,0.9721,0.9659,0.4117,0.9106,0.9068,0.9014,0.8946
55,0.0005,0.1944,0.976,0.9706,0.9712,0.9647,,,,,
60,0.0005,0.2059,0.977,0.9729,0.9718,0.9664,0.4007,0.9113,0.9095,0.9046,0.8983
65,0.0004,0.2117,0.9755,0.9722,0.9719,0.967,,,,,
70,0.0004,0.2005,0.9768,0.9728,0.972,0.9668,0.4271,0.9101,0.909,0.9043,0.8998
75,0.00032,0.1927,0.9773,0.9727,0.972,0.9666,,,,,
80,0.00032,0.2052,0.9745,0.9697,0.9691,0.9641,0.405,0.9111,0.9077,0.9039,0.8995
85,0.00026,0.1985,0.976,0.9707,0.9708,0.9651,,,,,
90,0.00026,0.2056,0.9745,0.9679,0.9694,0.963,0.3934,0.9131,0.9078,0.9044,0.8992
95,0.0002,0.1997,0.9757,0.9697,0.9705,0.9645,,,,,
100,0.0002,0.1981,0.9761,0.9704,0.971,0.9653,0.3967,0.9129,0.9079,0.9041,0.8989
105,0.00016,0.1999,0.9756,0.9696,0.9705,0.9647,,,,,
110,0.00016,0.2016,0.9752,0.9689,0.9701,0.9642,0.3987,0.9124,0.9074,0.9037,0.8985
115,0.00016,0.1989,0.9757,0.9698,0.9704,0.9643,,,,,
120,0.00013,0.1989,0.9757,0.9704,0.9704,0.9648,0.4002,0.9122,0.9077,0.9037,0.8985
125,0.00013,0.2023,0.9751,0.9686,0.97,0.9636,,,,,
130,0.0001,0.1985,0.9759,0.97,0.9707,0.9646,0.3983,0.9124,0.9082,0.9039,0.8986
135,0.0001,0.1966,0.9763,0.9713,0.9711,0.9657,,,,,
140,8e-05,0.2007,0.9754,0.9699,0.9702,0.9643,0.3969,0.9122,0.9079,0.9037,0.8983
145,8e-05,0.2021,0.975,0.9692,0.9698,0.9636,,,,,
