Epoch,Step,Learning Rate,Loss,Micro AUROC,Micro AUPRC,Macro AUROC,Macro AUPRC
0,0,0.00100,0.6931,0.5114,0.5239,0.5445,0.6444
0,500,0.00100,0.5416,0.7809,0.7557,0.7323,0.7958
0,1000,0.00100,0.5197,0.7995,0.7734,0.8086,0.8502
0,1500,0.00100,0.5201,0.8041,0.7751,0.7861,0.8302
0,2000,0.00100,0.5145,0.8126,0.7774,0.8351,0.8487
0,2500,0.00100,0.5011,0.8152,0.7803,0.8547,0.8655
0,3000,0.00100,0.4727,0.8407,0.8181,0.9113,0.9208
0,3500,0.00100,0.4661,0.8469,0.8258,0.9389,0.9404
0,4000,0.00100,0.4604,0.8472,0.8274,0.9205,0.9197
0,4500,0.00100,0.4548,0.8524,0.8298,0.9244,0.9220
0,5000,0.00100,0.4689,0.8325,0.8151,0.8742,0.9002
0,5500,0.00100,0.4536,0.8587,0.8280,0.9299,0.9313
0,6000,0.00100,0.5155,0.8433,0.8110,0.8883,0.9045
0,6500,0.00100,0.4621,0.8442,0.8149,0.9182,0.9152
1,0,0.00100,0.4579,0.8463,0.8284,0.9224,0.9212
1,500,0.00100,0.4523,0.8496,0.8274,0.9122,0.9142
1,1000,0.00100,0.4519,0.8536,0.8246,0.9054,0.8933
1,1500,0.00100,0.4528,0.8573,0.8344,0.8987,0.9097
1,2000,0.00100,0.4479,0.8630,0.8384,0.9247,0.9185
1,2500,0.00100,0.4536,0.8516,0.8261,0.9264,0.9185
1,3000,0.00100,0.4539,0.8536,0.8336,0.9352,0.9331
1,3500,0.00100,0.4422,0.8631,0.8380,0.9112,0.9243
1,4000,0.00100,0.4628,0.8410,0.8146,0.9237,0.9219
1,4500,0.00100,0.4524,0.8522,0.8245,0.8792,0.8975
1,5000,0.00100,0.4299,0.8703,0.8480,0.8911,0.9095
1,5500,0.00100,0.4546,0.8490,0.8225,0.9201,0.9304
1,6000,0.00100,0.4329,0.8679,0.8501,0.9429,0.9416
1,6500,0.00100,0.4547,0.8631,0.8360,0.8860,0.8985
2,0,0.00100,0.4343,0.8687,0.8432,0.9254,0.9143
2,500,0.00100,0.4523,0.8577,0.8285,0.8998,0.9097
2,1000,0.00100,0.4259,0.8722,0.8546,0.9099,0.9254
2,1500,0.00100,0.4334,0.8613,0.8409,0.9519,0.9452
2,2000,0.00100,0.4329,0.8673,0.8511,0.9467,0.9437
2,2500,0.00100,0.4261,0.8715,0.8529,0.8862,0.9089
2,3000,0.00100,0.4491,0.8502,0.8286,0.9225,0.9314
2,3500,0.00100,0.4380,0.8626,0.8448,0.9494,0.9490
2,4000,0.00100,0.4191,0.8737,0.8512,0.9400,0.9373
2,4500,0.00100,0.4299,0.8665,0.8386,0.9308,0.9267
2,5000,0.00100,0.4333,0.8632,0.8425,0.9329,0.9270
2,5500,0.00100,0.4383,0.8618,0.8401,0.9373,0.9359
2,6000,0.00100,0.4266,0.8734,0.8496,0.9199,0.9323
2,6500,0.00100,0.4288,0.8692,0.8475,0.9441,0.9360
